image_id,references,pred,latency_s,peak_vram_mib
0,"['A hefty rugby player in red shirt and black shorts in the air.', 'a guy being held up with a ball in his hands', 'A couple of men are holding up a team member', 'Two men hold up a man holding a soccer ball and all the men have on orange shirts.', 'The team mates are lifting up one of their members.']",A rugby player in a red jersey holds the ball above his head as another player reaches out to catch it.,8.815885305404663,3988.33642578125
1,"['A person holding a sandwich next to a cup of coffee.', 'Someone holding a hotdog in their hand ', 'sandwhich with everything on it and a coke', 'A sandwich is being eaten and sodas are on the table.', 'The diners are enjoying their filled  beef sandwiches,']",A hand holding a sandwich with ketchup and lettuce.,2.71500563621521,3960.50634765625
2,"['A wooden table topped with plates and bows filled with food', 'A wooden dining table adorned with many kinds of food.', ' A array of food consisting of soup, sandwich and dinner rolls', 'Variety of foods displayed on large wooden table.', 'Trays of pastries and sandwiches beside a bowl of soup.']","A table with sandwiches, soup, and tea.",2.581134557723999,3980.78515625
3,"['a shake is sitting next to a cake', 'A piece of cake and a milkshake with two forks.', 'Milkshake in tall glass and piece of cake on plate near forks.', 'a brown table with a chocolate drink and a piece of white cake', 'A large chocolate milkshake and a slice of cake.']",A slice of cake and a glass of chocolate milk on a table.,3.8227834701538086,4008.0927734375
4,"['Two remotes on a mattress with an adjustable sleep number one in the middle', 'Remote controls are arranged on a bare mattress.', 'Three remotes sitting on top of a mattress.', 'A sleep number bed with the comfort remotes.', 'An unmade bed has three remote controls on top of it.  ']",Three remote controls sit on top of a Sleep Number mattress.,3.0722854137420654,3991.43359375
5,"['A bedroom with a bed that has an ornate frame.', 'a fancy bed with a tall head board', 'The bed in the room is clean and ready for its guests. ', 'A wooden bed with white bedding and pillows', 'A bed that has an old fashioned wooden frame.']",A bed with a wooden headboard and two black winged creatures on it.,3.7948055267333984,3991.43701171875
6,"['A man opens pizza box and stares at the camera.', 'Man displaying open pizza box with message written on inside.', 'A man is pointing at a pizza box with a some words on the inner side.', 'A boy holding open and gesturing towards a pizza box kid with a message written on it.', 'a kid is showing a pizza with a joke written inside the box cover']","A man holding a pizza box with a note on it that says ""I went to a wishing well, it sank to the ocean floor.""",6.839555501937866,3980.7919921875
7,"['A woman holding a plate of cake covered in frosting.', 'A close up of a person holding a piece of cake.', 'A woman holding a plate with a slice of cake.', 'A woman holding a plate of cake with frosting and icing.', 'A woman is holding a slice of red and white cake']",A woman holds a slice of cake with a red flower on top.,3.3834195137023926,3980.79541015625
8,"['A young girl tries to keep her balance on a surfboard.', 'Young girl in black balances on a pink surfboard.', 'A girl in black wet suit riding on a surfboard.', 'A young girl riding a surfboard in the ocean', 'A person on a surfboard on the water.']",A young girl in a wetsuit surfing on a pink surfboard.,9.707757234573364,3980.77587890625
9,"['A blurry woman is holding a tennis racquet in the air', 'A woman running across a tennis court in a shirt skirt.', 'a tennis player with a racket on a court ', 'A women looks toward the tennis ball she just hit.  ', 'A girl swinging a tennis racquet on a court.']",A woman in a white dress is playing tennis on a green court.,3.4138216972351074,3991.39697265625
