image_id,references,pred,latency_s,peak_vram_mib
0,"['A hefty rugby player in red shirt and black shorts in the air.', 'a guy being held up with a ball in his hands', 'A couple of men are holding up a team member', 'Two men hold up a man holding a soccer ball and all the men have on orange shirts.', 'The team mates are lifting up one of their members.']",A rugby player in a red jersey holds the ball above his head.,2.6284215450286865,7494.80712890625
1,"['A person holding a sandwich next to a cup of coffee.', 'Someone holding a hotdog in their hand ', 'sandwhich with everything on it and a coke', 'A sandwich is being eaten and sodas are on the table.', 'The diners are enjoying their filled  beef sandwiches,']",A hand holding a sandwich with ketchup and lettuce.,1.9160475730895996,7311.41064453125
2,"['A wooden table topped with plates and bows filled with food', 'A wooden dining table adorned with many kinds of food.', ' A array of food consisting of soup, sandwich and dinner rolls', 'Variety of foods displayed on large wooden table.', 'Trays of pastries and sandwiches beside a bowl of soup.']","A table with sandwiches, soup and tea.",2.414457321166992,7493.8662109375
3,"['a shake is sitting next to a cake', 'A piece of cake and a milkshake with two forks.', 'Milkshake in tall glass and piece of cake on plate near forks.', 'a brown table with a chocolate drink and a piece of white cake', 'A large chocolate milkshake and a slice of cake.']",A slice of cake and a glass of chocolate milk.,3.2162938117980957,7772.3134765625
4,"['Two remotes on a mattress with an adjustable sleep number one in the middle', 'Remote controls are arranged on a bare mattress.', 'Three remotes sitting on top of a mattress.', 'A sleep number bed with the comfort remotes.', 'An unmade bed has three remote controls on top of it.  ']",Three remote controls on a mattress.,2.5476109981536865,7577.5234375
5,"['A bedroom with a bed that has an ornate frame.', 'a fancy bed with a tall head board', 'The bed in the room is clean and ready for its guests. ', 'A wooden bed with white bedding and pillows', 'A bed that has an old fashioned wooden frame.']",A bed with a wooden headboard and two black winged creatures on it.,3.3935630321502686,7577.5234375
6,"['A man opens pizza box and stares at the camera.', 'Man displaying open pizza box with message written on inside.', 'A man is pointing at a pizza box with a some words on the inner side.', 'A boy holding open and gesturing towards a pizza box kid with a message written on it.', 'a kid is showing a pizza with a joke written inside the box cover']",A man holding a pizza box with a note on it.,2.519334316253662,7493.8662109375
7,"['A woman holding a plate of cake covered in frosting.', 'A close up of a person holding a piece of cake.', 'A woman holding a plate with a slice of cake.', 'A woman holding a plate of cake with frosting and icing.', 'A woman is holding a slice of red and white cake']",A woman holds a slice of cake with a red flower on top.,2.6091887950897217,7493.8662109375
8,"['A young girl tries to keep her balance on a surfboard.', 'Young girl in black balances on a pink surfboard.', 'A girl in black wet suit riding on a surfboard.', 'A young girl riding a surfboard in the ocean', 'A person on a surfboard on the water.']",A young girl surfing on a pink surfboard.,2.4022216796875,7493.8662109375
9,"['A blurry woman is holding a tennis racquet in the air', 'A woman running across a tennis court in a shirt skirt.', 'a tennis player with a racket on a court ', 'A women looks toward the tennis ball she just hit.  ', 'A girl swinging a tennis racquet on a court.']",A woman in a white tennis outfit is playing tennis on a green court.,3.298574924468994,7577.5234375
10,"['Three laptop computers and a desktop computer sit next to each other.', 'Four computers are turned on on a desk.', 'a office with three computers spread out everywhere', 'Four computers and keyboards arranged on a desk.', 'A lot of computers that are on a computer desk.']",A home office with three laptops and a desktop computer.,2.4604504108428955,7493.8662109375
11,"['A pair of men with small mustaches dress as tennis players.', 'a couple of men that are standing around with rackets', 'Two men with tennis rackets and tennis balls.', 'Two men wearing polos, headbands and shorts, holding tennis balls and rackets.', 'Two men posing for a picture in a tennis game in a funny way.']","Two men, one in black and one in red, stand side by side holding tennis rackets and balls.",3.1775410175323486,7534.0771484375
12,"['A vase full of white flowers sitting on a wooden table.', 'The table has a flower arrangement in an ornate vase. ', 'a glass vase with some flowers inside of it ', 'A bouquet of flowers on a marble table in the lobby of a business location with an escalator in the background.', 'A vase sitting on top of a table with flowers in it.']",A vase of flowers sits on a table in a lobby.,2.5045785903930664,7493.8662109375
