image_id,references,pred,latency_s,peak_vram_mib
0,"['A gray cat standing on top of a black car.', 'A cat standing on the hood of a car.', 'Grey color cat standing on hood of car in garage', 'A gray cat on the hood of a black car', 'A cat sitting on the hood of a parked black car in a garage.']",A cat stands on the hood of a car in a garage.,4.445393800735474,9134.06689453125
1,"['Horses communing with each other on a shady street.', 'A few horses stand on the street next to a silver car.', 'a couple of horses standing in front of a car ', 'A silver sports car is parked beside horse droppings left by a group of horses.', 'horses stand around on a neighborhood street in front of a car']",Horses on the road next to a car.,0.9507944583892822,9156.77783203125
2,"['Some very pretty horses with riders in the grass.', 'three men riding horses through a grassy field', 'a couple of people are riding horses outside', 'three horses and three jockeys are racing near a silver car', 'Three jockeys and three horses competing in a race against each other']",Horses racing with jockeys on top.,1.0663254261016846,9175.59375
3,"['a person taking a photo in a bath room mirror', 'A youth on a toilet taking a ""selfie"" in a mirror.', 'Someone sitting on the toilet in the bathroom holding their camera at the mirror. ', 'The person is sitting on the unusual toilet in the bathroom.', 'A picture of the photographer sitting on the toilet ']",A woman in a bathroom holding a camera.,0.9747545719146729,9175.521484375
4,"['A purple and white bus driving down a street.', 'A purple and white city bus pulling up to the curb', 'A purple and white bus in a parking lot.', 'A purple bus with a person on the side driving around a curb.', 'A bus sits diagonal from the curb next to a building and people.']",A purple and white bus is parked on the side of the road.,1.1554551124572754,9165.8193359375
5,"['A policeman on a motorcycle at night watching pedestrians cross a street', 'a policeman on a motorcycle and some people crossing the street', 'a police on a motorcycle on the side of the road', 'A man in yellow vest riding motorcycle on street.', 'A cop is riding a motorcycle at an intersection in a city at night.']",A police officer on a motorcycle is directing traffic at night.,1.3315603733062744,9175.57568359375
6,"['An old motorcycle rests near a rundown building. ', 'A red motorcycle parked by paint chipped doors.', 'An old, dusty motorcycle parked in front of a run down shop', 'A motorcycle just outside a building with green, peeling paint', 'A motorcycle parked in front of green doors. ']",An old motorcycle is parked in front of a weathered door.,1.324051856994629,9209.154296875
7,"['The television, in a plastic cow, is on.', ""there's a cow that has a Television on its side"", ""A cow sculpture with a TV sticking out of it's center."", 'A television is mounted inside of a cow figurine. ', 'A TV mounted in a cow on a wall.']",A cow with a TV on its back.,0.9851818084716797,9179.65869140625
8,"['A pizza sitting on top of a pan in the oven.', 'a cheese pizza on a gray tray and an orange pizza cutter', 'A panned sliced pizza and a bike shaped cutter.', 'The homemade pizza just came out of the oven. ', 'A motorcycle shaped pizza cutter near a cheesy pizza.']",A pizza with a red scooter on top of it.,1.0012590885162354,9168.2041015625
9,"['Two planes in runway and another plane in the sky.', 'A plane is in the sky as several are parked on a runway.', 'Two jumbo jets are driving on the runway of an airport.', 'Planes flying and landing on a runway at an airport.', 'Some parked airplanes and one airplane in the sky']",A plane is taking off from an airport runway with other planes and buildings in the background.,1.3296515941619873,9168.35986328125
