image_id,references,pred,latency_s,peak_vram_mib
0,"['A gray cat standing on top of a black car.', 'A cat standing on the hood of a car.', 'Grey color cat standing on hood of car in garage', 'A gray cat on the hood of a black car', 'A cat sitting on the hood of a parked black car in a garage.']",A cat stands on the hood of a car in a garage.,6.236268997192383,7421.80615234375
1,"['Horses communing with each other on a shady street.', 'A few horses stand on the street next to a silver car.', 'a couple of horses standing in front of a car ', 'A silver sports car is parked beside horse droppings left by a group of horses.', 'horses stand around on a neighborhood street in front of a car']",Horses on the road next to a car.,2.131906270980835,7493.8662109375
2,"['Some very pretty horses with riders in the grass.', 'three men riding horses through a grassy field', 'a couple of people are riding horses outside', 'three horses and three jockeys are racing near a silver car', 'Three jockeys and three horses competing in a race against each other']",Horses racing with jockeys on top.,2.441828966140747,7579.01220703125
3,"['a person taking a photo in a bath room mirror', 'A youth on a toilet taking a ""selfie"" in a mirror.', 'Someone sitting on the toilet in the bathroom holding their camera at the mirror. ', 'The person is sitting on the unusual toilet in the bathroom.', 'A picture of the photographer sitting on the toilet ']",A woman in a bathroom taking a picture of herself with a camera.,2.67714262008667,7579.01220703125
4,"['A purple and white bus driving down a street.', 'A purple and white city bus pulling up to the curb', 'A purple and white bus in a parking lot.', 'A purple bus with a person on the side driving around a curb.', 'A bus sits diagonal from the curb next to a building and people.']",A purple and white bus with anime characters on the side is parked at a bus stop.,2.5450668334960938,7493.8662109375
5,"['A policeman on a motorcycle at night watching pedestrians cross a street', 'a policeman on a motorcycle and some people crossing the street', 'a police on a motorcycle on the side of the road', 'A man in yellow vest riding motorcycle on street.', 'A cop is riding a motorcycle at an intersection in a city at night.']",A police officer on a motorcycle at night.,2.3735339641571045,7579.01220703125
6,"['An old motorcycle rests near a rundown building. ', 'A red motorcycle parked by paint chipped doors.', 'An old, dusty motorcycle parked in front of a run down shop', 'A motorcycle just outside a building with green, peeling paint', 'A motorcycle parked in front of green doors. ']",A red motorcycle is parked in front of an old building with green doors.,3.3690743446350098,7882.7109375
7,"['The television, in a plastic cow, is on.', ""there's a cow that has a Television on its side"", ""A cow sculpture with a TV sticking out of it's center."", 'A television is mounted inside of a cow figurine. ', 'A TV mounted in a cow on a wall.']",A cow with a television on its back.,2.402564287185669,7579.01220703125
8,"['A pizza sitting on top of a pan in the oven.', 'a cheese pizza on a gray tray and an orange pizza cutter', 'A panned sliced pizza and a bike shaped cutter.', 'The homemade pizza just came out of the oven. ', 'A motorcycle shaped pizza cutter near a cheesy pizza.']",A pizza with a red scooter on top of it.,4.972208023071289,7493.8662109375
9,"['Two planes in runway and another plane in the sky.', 'A plane is in the sky as several are parked on a runway.', 'Two jumbo jets are driving on the runway of an airport.', 'Planes flying and landing on a runway at an airport.', 'Some parked airplanes and one airplane in the sky']",A plane is taking off from an airport runway with other planes and buildings in the background.,3.460878849029541,7493.8662109375
