image_id,references,pred,latency_s,peak_vram_mib
0,"['A man is in a kitchen making pizzas.', 'Man in apron standing on front of oven with pans and bakeware', 'A baker is working in the kitchen rolling dough.', 'A person standing by a stove in a kitchen.', 'A table with pies being made and a person standing near a wall with pots and pans hanging on the wall.']",A woman in an apron stands in a kitchen with pots and pans hanging from the ceiling.,2.7365593910217285,9157.57861328125
1,"['The dining table near the kitchen has a bowl of fruit on it.', 'A small kitchen has various appliances and a table.', 'The kitchen is clean and ready for us to see.', 'A kitchen and dining area decorated in white.', 'A kitchen that has a bowl of fruit on the table.']",A kitchen with white appliances and wooden cabinets.,0.6853771209716797,9151.693359375
2,"['a person with a shopping cart on a city street ', 'City dwellers walk by as a homeless man begs for cash.', 'People walking past a homeless man begging on a city street', 'a homeless man holding a cup and standing next to a shopping cart on a street', 'People are walking on the street by a homeless person.']",A man stands in front of a blue building with a shopping cart full of clothes.,1.3289203643798828,9171.35498046875
3,"['A person on a skateboard and bike at a skate park.', 'A man on a skateboard performs a trick at the skate park', 'A skateboarder jumps into the air as he performs a skateboard trick.', 'Athletes performing tricks on a BMX bicycle and a skateboard.', 'a man falls off his skateboard in a skate park.']",A skateboarder jumps over a ramp while another person rides a bike nearby.,1.3020460605621338,9182.59375
4,"['a blue bike parked on a side walk ', 'A bicycle is chained to a fixture on a city street', 'A blue bicycle sits on a sidewalk near a street.', 'A bicycle is locked up to a post', 'a bike sits parked next to a street ']",A blue bicycle is parked on the sidewalk next to a busy street with cars and buildings in the background.,1.596235752105713,9173.2490234375
5,"['A bathroom that has a broken wall in the shower.', 'A bathroom looks clean but is missing tile at the shower stall.', 'A view of a bathroom that needs to be fixed up.', 'a shower toilet and sink in a basement bathroom', 'A very big whit rest room with a shabby looking shower.']",A bathroom with a broken shower and a toilet.,1.0769717693328857,9188.4873046875
6,"['a couple of buckets in a white room', 'A bathroom with no toilets and a red and green bucket. ', 'a shower room with two buckets, tolet paper holder and soap.', 'A standing toilet in a bathroom next to a window.', 'This picture looks like a janitors closet with buckets on the floor.']",A bathroom with a toilet and two buckets on the floor.,1.0887484550476074,9175.17529296875
7,"['The shiny motorcycle has been put on display.', 'The new motorcycle on display is very shiny.', 'A motorcycle is parked inside of a building.', 'A brand new motorcycle on display at a show.', 'The front end of a red motorcycle that is on display.']",A motorcycle is on display at an auto show.,0.9302427768707275,9169.76611328125
8,"['A row of white toilets sitting on top of a dirt ground.', 'A bunch of dirty looking white toilets in a row outside.', 'There is a row of used and broken toilets in a field.', 'A row of toilets with broken seat tops on the ground.', 'LOTS OF BROKEN TOILETS SITTING OUT ON A LAWN']",A row of old toilets sit outside in a yard.,1.0451428890228271,9176.10107421875
9,"['A small closed toilet in a cramped space.', 'A tan toilet and sink combination in a small room.', 'This is an advanced toilet with a sink and control panel.', 'A close-up picture of a toilet with a fountain.', 'Off white toilet with a faucet and controls. ']",A beige toilet with a sink on top and a hose attached to the side.,1.3462562561035156,9168.8095703125
